experiment,competition_id,medals,seeds,medal_rate
Leeroo,3d-object-detection-for-autonomous-vehicles,3,3,1.0
Leeroo,aerial-cactus-identification,3,3,1.0
Leeroo,aptos2019-blindness-detection,3,3,1.0
Leeroo,cassava-leaf-disease-classification,3,3,1.0
Leeroo,chaii-hindi-and-tamil-question-answering,3,3,1.0
Leeroo,denoising-dirty-documents,3,3,1.0
Leeroo,detecting-insults-in-social-commentary,3,3,1.0
Leeroo,dogs-vs-cats-redux-kernels-edition,3,3,1.0
Leeroo,google-quest-challenge,3,3,1.0
Leeroo,herbarium-2020-fgvc7,3,3,1.0
Leeroo,herbarium-2021-fgvc8,3,3,1.0
Leeroo,herbarium-2022-fgvc9,3,3,1.0
Leeroo,histopathologic-cancer-detection,3,3,1.0
Leeroo,hotel-id-2021-fgvc8,3,3,1.0
Leeroo,inaturalist-2019-fgvc6,3,3,1.0
Leeroo,iwildcam-2019-fgvc6,3,3,1.0
Leeroo,iwildcam-2020-fgvc7,3,3,1.0
Leeroo,jigsaw-toxic-comment-classification-challenge,2,3,0.6667
Leeroo,kuzushiji-recognition,1,3,0.3333
Leeroo,leaf-classification,3,3,1.0
Leeroo,learning-agency-lab-automated-essay-scoring-2,3,3,1.0
Leeroo,lmsys-chatbot-arena,3,3,1.0
Leeroo,mlsp-2013-birds,3,3,1.0
Leeroo,nomad2018-predict-transparent-conductors,3,3,1.0
Leeroo,petfinder-pawpularity-score,3,3,1.0
Leeroo,plant-pathology-2020-fgvc7,3,3,1.0
Leeroo,plant-pathology-2021-fgvc8,3,3,1.0
Leeroo,predict-volcanic-eruptions-ingv-oe,3,3,1.0
Leeroo,rsna-miccai-brain-tumor-radiogenomic-classification,3,3,1.0
Leeroo,seti-breakthrough-listen,3,3,1.0
Leeroo,spooky-author-identification,3,3,1.0
Leeroo,stanford-covid-vaccine,3,3,1.0
Leeroo,tabular-playground-series-dec-2021,3,3,1.0
Leeroo,text-normalization-challenge-english-language,3,3,1.0
Leeroo,text-normalization-challenge-russian-language,1,3,0.3333
Leeroo,the-icml-2013-whale-challenge-right-whale-redux,3,3,1.0
Leeroo,tweet-sentiment-extraction,2,3,0.6667
Leeroo,us-patent-phrase-to-phrase-matching,3,3,1.0
Leeroo,vinbigdata-chest-xray-abnormalities-detection,3,3,1.0
Leeroo,whale-categorization-playground,3,3,1.0
MLE-STAR-Pro-1.0,3d-object-detection-for-autonomous-vehicles,0,3,0.0
MLE-STAR-Pro-1.0,AI4Code,0,3,0.0
MLE-STAR-Pro-1.0,aerial-cactus-identification,3,3,1.0
MLE-STAR-Pro-1.0,alaska2-image-steganalysis,0,3,0.0
MLE-STAR-Pro-1.0,aptos2019-blindness-detection,3,3,1.0
MLE-STAR-Pro-1.0,billion-word-imputation,0,3,0.0
MLE-STAR-Pro-1.0,bms-molecular-translation,0,3,0.0
MLE-STAR-Pro-1.0,cassava-leaf-disease-classification,0,3,0.0
MLE-STAR-Pro-1.0,cdiscount-image-classification-challenge,0,3,0.0
MLE-STAR-Pro-1.0,chaii-hindi-and-tamil-question-answering,0,3,0.0
MLE-STAR-Pro-1.0,champs-scalar-coupling,0,3,0.0
MLE-STAR-Pro-1.0,denoising-dirty-documents,3,3,1.0
MLE-STAR-Pro-1.0,detecting-insults-in-social-commentary,3,3,1.0
MLE-STAR-Pro-1.0,dog-breed-identification,0,3,0.0
MLE-STAR-Pro-1.0,dogs-vs-cats-redux-kernels-edition,3,3,1.0
MLE-STAR-Pro-1.0,facebook-recruiting-iii-keyword-extraction,0,3,0.0
MLE-STAR-Pro-1.0,freesound-audio-tagging-2019,0,3,0.0
MLE-STAR-Pro-1.0,google-quest-challenge,3,3,1.0
MLE-STAR-Pro-1.0,google-research-identify-contrails-reduce-global-warming,0,3,0.0
MLE-STAR-Pro-1.0,h-and-m-personalized-fashion-recommendations,2,3,0.6667
MLE-STAR-Pro-1.0,herbarium-2020-fgvc7,3,3,1.0
MLE-STAR-Pro-1.0,herbarium-2021-fgvc8,0,3,0.0
MLE-STAR-Pro-1.0,herbarium-2022-fgvc9,2,3,0.6667
MLE-STAR-Pro-1.0,histopathologic-cancer-detection,3,3,1.0
MLE-STAR-Pro-1.0,hms-harmful-brain-activity-classification,0,3,0.0
MLE-STAR-Pro-1.0,hotel-id-2021-fgvc8,3,3,1.0
MLE-STAR-Pro-1.0,hubmap-kidney-segmentation,0,3,0.0
MLE-STAR-Pro-1.0,icecube-neutrinos-in-deep-ice,0,3,0.0
MLE-STAR-Pro-1.0,imet-2020-fgvc7,0,3,0.0
MLE-STAR-Pro-1.0,inaturalist-2019-fgvc6,3,3,1.0
MLE-STAR-Pro-1.0,iwildcam-2019-fgvc6,3,3,1.0
MLE-STAR-Pro-1.0,iwildcam-2020-fgvc7,3,3,1.0
MLE-STAR-Pro-1.0,jigsaw-toxic-comment-classification-challenge,3,3,1.0
MLE-STAR-Pro-1.0,jigsaw-unintended-bias-in-toxicity-classification,0,3,0.0
MLE-STAR-Pro-1.0,kuzushiji-recognition,0,3,0.0
MLE-STAR-Pro-1.0,leaf-classification,3,3,1.0
MLE-STAR-Pro-1.0,learning-agency-lab-automated-essay-scoring-2,1,3,0.3333
MLE-STAR-Pro-1.0,lmsys-chatbot-arena,1,3,0.3333
MLE-STAR-Pro-1.0,mlsp-2013-birds,3,3,1.0
MLE-STAR-Pro-1.0,multi-modal-gesture-recognition,0,3,0.0
MLE-STAR-Pro-1.0,new-york-city-taxi-fare-prediction,0,3,0.0
MLE-STAR-Pro-1.0,nfl-player-contact-detection,0,3,0.0
MLE-STAR-Pro-1.0,nomad2018-predict-transparent-conductors,3,3,1.0
MLE-STAR-Pro-1.0,osic-pulmonary-fibrosis-progression,0,3,0.0
MLE-STAR-Pro-1.0,petfinder-pawpularity-score,0,3,0.0
MLE-STAR-Pro-1.0,plant-pathology-2020-fgvc7,3,3,1.0
MLE-STAR-Pro-1.0,plant-pathology-2021-fgvc8,3,3,1.0
MLE-STAR-Pro-1.0,predict-volcanic-eruptions-ingv-oe,3,3,1.0
MLE-STAR-Pro-1.0,random-acts-of-pizza,0,3,0.0
MLE-STAR-Pro-1.0,ranzcr-clip-catheter-line-classification,0,3,0.0
MLE-STAR-Pro-1.0,rsna-2022-cervical-spine-fracture-detection,0,3,0.0
MLE-STAR-Pro-1.0,rsna-breast-cancer-detection,0,3,0.0
MLE-STAR-Pro-1.0,rsna-miccai-brain-tumor-radiogenomic-classification,2,3,0.6667
MLE-STAR-Pro-1.0,seti-breakthrough-listen,3,3,1.0
MLE-STAR-Pro-1.0,siim-covid19-detection,0,3,0.0
MLE-STAR-Pro-1.0,siim-isic-melanoma-classification,0,3,0.0
MLE-STAR-Pro-1.0,smartphone-decimeter-2022,0,3,0.0
MLE-STAR-Pro-1.0,spooky-author-identification,3,3,1.0
MLE-STAR-Pro-1.0,stanford-covid-vaccine,3,3,1.0
MLE-STAR-Pro-1.0,statoil-iceberg-classifier-challenge,0,3,0.0
MLE-STAR-Pro-1.0,tabular-playground-series-dec-2021,3,3,1.0
MLE-STAR-Pro-1.0,tabular-playground-series-may-2022,0,3,0.0
MLE-STAR-Pro-1.0,tensorflow-speech-recognition-challenge,0,3,0.0
MLE-STAR-Pro-1.0,tensorflow2-question-answering,0,3,0.0
MLE-STAR-Pro-1.0,text-normalization-challenge-english-language,2,3,0.6667
MLE-STAR-Pro-1.0,text-normalization-challenge-russian-language,0,3,0.0
