competition_id,complexity
3d-object-detection-for-autonomous-vehicles,high
AI4Code,medium
aerial-cactus-identification,low
alaska2-image-steganalysis,medium
aptos2019-blindness-detection,low
billion-word-imputation,medium
bms-molecular-translation,high
cassava-leaf-disease-classification,medium
cdiscount-image-classification-challenge,medium
chaii-hindi-and-tamil-question-answering,medium
champs-scalar-coupling,medium
denoising-dirty-documents,low
detecting-insults-in-social-commentary,low
dog-breed-identification,low
dogs-vs-cats-redux-kernels-edition,low
facebook-recruiting-iii-keyword-extraction,medium
freesound-audio-tagging-2019,medium
google-quest-challenge,medium
google-research-identify-contrails-reduce-global-warming,high
h-and-m-personalized-fashion-recommendations,medium
herbarium-2020-fgvc7,medium
herbarium-2021-fgvc8,medium
herbarium-2022-fgvc9,medium
histopathologic-cancer-detection,low
hms-harmful-brain-activity-classification,high
hotel-id-2021-fgvc8,medium
hubmap-kidney-segmentation,medium
icecube-neutrinos-in-deep-ice,medium
imet-2020-fgvc7,medium
inaturalist-2019-fgvc6,medium
iwildcam-2019-fgvc6,high
iwildcam-2020-fgvc7,medium
jigsaw-toxic-comment-classification-challenge,low
jigsaw-unintended-bias-in-toxicity-classification,medium
kuzushiji-recognition,medium
leaf-classification,low
learning-agency-lab-automated-essay-scoring-2,medium
lmsys-chatbot-arena,medium
mlsp-2013-birds,low
multi-modal-gesture-recognition,medium
new-york-city-taxi-fare-prediction,low
nfl-player-contact-detection,high
nomad2018-predict-transparent-conductors,low
osic-pulmonary-fibrosis-progression,medium
petfinder-pawpularity-score,medium
plant-pathology-2020-fgvc7,low
plant-pathology-2021-fgvc8,medium
predict-volcanic-eruptions-ingv-oe,high
random-acts-of-pizza,low
ranzcr-clip-catheter-line-classification,low
rsna-2022-cervical-spine-fracture-detection,high
rsna-breast-cancer-detection,high
rsna-miccai-brain-tumor-radiogenomic-classification,high
seti-breakthrough-listen,medium
siim-covid19-detection,high
siim-isic-melanoma-classification,low
smartphone-decimeter-2022,high
spooky-author-identification,low
stanford-covid-vaccine,high
statoil-iceberg-classifier-challenge,medium
tabular-playground-series-dec-2021,low
tabular-playground-series-may-2022,low
tensorflow-speech-recognition-challenge,medium
tensorflow2-question-answering,medium
text-normalization-challenge-english-language,low
text-normalization-challenge-russian-language,low
tgs-salt-identification-challenge,medium
the-icml-2013-whale-challenge-right-whale-redux,low
tweet-sentiment-extraction,medium
us-patent-phrase-to-phrase-matching,medium
uw-madison-gi-tract-image-segmentation,medium
ventilator-pressure-prediction,medium
vesuvius-challenge-ink-detection,high
vinbigdata-chest-xray-abnormalities-detection,high
whale-categorization-playground,medium
